epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,924.271,1.10453,4.82046,1.47424,0.48704,0.15165,0.10421,0.07502,1.11772,3.22487,1.60365,0.00333245,0.00333245,0.00333245
2,1790.07,1.15293,3.28025,1.48034,0.47388,0.26536,0.23656,0.17008,1.1172,2.49054,1.58998,0.00640182,0.00640182,0.00640182
3,2622.13,1.17097,2.95069,1.46881,0.49666,0.29402,0.28771,0.2001,1.12054,2.25566,1.57323,0.00920719,0.00920719,0.00920719
4,3442.84,1.1512,2.69792,1.44258,0.51276,0.36706,0.37454,0.26961,1.05402,1.91695,1.49832,0.008812,0.008812,0.008812
5,4260.31,1.09379,2.28541,1.3935,0.59273,0.40616,0.45202,0.33353,1.00844,1.69748,1.44302,0.008416,0.008416,0.008416
6,5072.99,1.06076,2.05682,1.37123,0.52958,0.48722,0.49695,0.36898,0.97944,1.53848,1.41303,0.00802,0.00802,0.00802
7,5889.68,1.03651,1.91148,1.35194,0.59588,0.50515,0.52921,0.39728,0.95147,1.42449,1.3733,0.007624,0.007624,0.007624
8,6702.9,1.00977,1.81062,1.33623,0.61046,0.51903,0.55862,0.42321,0.93737,1.35315,1.36042,0.007228,0.007228,0.007228
9,7515.44,0.99394,1.73145,1.3235,0.62562,0.52894,0.57354,0.43771,0.91848,1.30515,1.34168,0.006832,0.006832,0.006832
10,8326.56,0.97783,1.65876,1.31214,0.66615,0.53208,0.59384,0.45507,0.90926,1.25449,1.33127,0.006436,0.006436,0.006436
11,9138.88,0.96748,1.60926,1.30329,0.68122,0.53742,0.6001,0.46234,0.89685,1.22098,1.31856,0.00604,0.00604,0.00604
12,9949.26,0.95414,1.55807,1.29453,0.65489,0.56016,0.61687,0.47717,0.89053,1.1919,1.30843,0.005644,0.005644,0.005644
13,10759.5,0.94397,1.51512,1.28762,0.66873,0.56329,0.6278,0.48745,0.88557,1.17085,1.30416,0.005248,0.005248,0.005248
14,11558.6,0.93213,1.46649,1.27997,0.67679,0.56493,0.63175,0.49243,0.87917,1.1511,1.29858,0.004852,0.004852,0.004852
15,12369.8,0.92043,1.42808,1.27172,0.63507,0.59893,0.63656,0.49685,0.87641,1.13544,1.29559,0.004456,0.004456,0.004456
16,13238,0.86663,1.26844,1.28373,0.64454,0.60952,0.64153,0.50186,0.87111,1.12608,1.28997,0.00406,0.00406,0.00406
17,14040.2,0.85045,1.20205,1.27267,0.66584,0.59612,0.64353,0.50441,0.86672,1.11613,1.28552,0.003664,0.003664,0.003664
18,14836.7,0.83434,1.14583,1.25691,0.66454,0.60004,0.64747,0.5079,0.86284,1.10675,1.28053,0.003268,0.003268,0.003268
19,15606.7,0.82003,1.09501,1.24502,0.67147,0.60324,0.65108,0.51152,0.85962,1.09838,1.27667,0.002872,0.002872,0.002872
20,16338.5,0.80772,1.04436,1.23572,0.67418,0.60432,0.65639,0.51521,0.85713,1.09048,1.2734,0.002476,0.002476,0.002476
21,17072.8,0.79252,0.99617,1.22373,0.67785,0.60602,0.66,0.51883,0.85457,1.08295,1.27047,0.00208,0.00208,0.00208
22,17837.2,0.77921,0.94668,1.21203,0.68366,0.60493,0.66234,0.52118,0.85224,1.07447,1.26769,0.001684,0.001684,0.001684
23,18640.9,0.76693,0.9012,1.20261,0.68535,0.60741,0.66338,0.52266,0.85005,1.06619,1.26549,0.001288,0.001288,0.001288
24,19447.8,0.7533,0.86015,1.19178,0.68423,0.61269,0.66559,0.52517,0.84854,1.05825,1.26377,0.000892,0.000892,0.000892
25,20249.1,0.73892,0.82253,1.17971,0.67459,0.62436,0.66772,0.52745,0.84684,1.05091,1.26205,0.000496,0.000496,0.000496
